tri,compte,mesureNo1,mesureNo2,mesureNo3,mesureNo4,mesureNo5,mesureNo6,mesureNo7,mesureNo8,mesureNo9,mesureNo10,mesureNo11,mesureNo12,mesureNo13,mesureNo14,mesureNo15,mesureNo16,mesureNo17,mesureNo18,mesureNo19,mesureNo20,mesureNo21,mesureNo22,mesureNo23,mesureNo24,mesureNo25,mesureNo26,mesureNo27,mesureNo28,mesureNo29,mesureNo30,mesureNo31,mesureNo32,mesureNo33,mesureNo34,mesureNo35,mesureNo36,mesureNo37,mesureNo38,mesureNo39,mesureNo40,mesureNo41,mesureNo42,mesureNo43,mesureNo44,mesureNo45,mesureNo46,mesureNo47,mesureNo48,mesureNo49,mesureNo50
tri_base_2,1000000,602067,601960,601371,599798,600403,600633,600834,600043,601208,613231,609847,608733,604761,600331,600133,597848,612067,606142,602778,607359,601602,601271,603495,601365,601742,605204,603650,599521,602416,599276,600997,601247,600248,601932,602143,601988,601661,601197,602553,602311,600098,599702,601182,599814,597317,598022,599702,601193,601347,604530
tri_base_4,10,13,12,12,13,13,12,21,13,13,13,12,13,13,13,13,13,12,13,13,12,13,12,12,13,12,13,13,13,13,13,12,12,13,13,12,42,14,14,13,13,13,13,12,13,13,13,13,13,13,13
tri_base_4,1000,291,288,287,293,294,283,294,306,288,295,288,296,292,293,302,289,293,287,295,303,290,302,287,286,286,289,300,286,287,288,285,287,297,287,300,290,306,284,284,281,285,291,287,284,389,300,287,289,293,291
tri_base_4,100000,30994,31099,30950,30955,31062,31167,30781,31047,31105,30868,31177,30603,31013,31573,31302,31537,31818,30941,31138,31441,30570,30893,30786,30956,30999,30846,30710,30965,30825,31035,30717,30856,30796,30969,30424,31161,30443,31029,31559,30885,31250,31349,31123,31109,30915,31284,31753,31326,31192,31225
tri_base_4,1000000,310573,309415,309687,310352,310305,312981,309039,309055,308465,312378,310101,309854,310286,312316,310072,311097,309138,311875,311477,310635,311004,310285,311444,307871,309042,311961,309541,309249,309497,308172,310272,309733,308239,313583,309357,310511,308006,316746,314470,309971,308579,311864,311315,313285,311496,310081,311143,310254,310607,309254
tri_base_8,10,29,29,29,29,29,29,29,32,29,29,29,29,29,29,29,29,29,29,32,29,29,29,29,29,29,29,29,29,29,37,29,29,32,32,30,30,29,29,29,32,29,29,29,29,29,29,29,29,29,29
tri_base_8,1000,174,175,177,174,178,179,184,176,177,177,178,174,174,176,179,179,178,189,185,175,176,183,183,179,178,183,180,178,178,187,177,185,175,184,173,177,177,182,182,184,180,180,183,177,178,176,175,175,178,178
tri_base_8,100000,16408,16277,16483,16070,16082,16637,16543,16525,16379,16434,16514,16507,16945,16708,16219,16581,16591,16423,16611,16749,16575,16350,16496,16545,16521,16262,16561,16347,16194,16564,16605,16490,16662,16645,16663,16111,16795,16485,16158,16347,16415,16445,16139,16514,16646,16391,16659,16492,16515,16503
tri_base_8,1000000,165034,165148,166113,164571,166066,172175,171401,169548,167570,165881,164826,166081,165391,167942,169234,167069,166838,166254,166068,167318,166625,166435,165964,165894,166400,166014,165098,165399,164714,169072,169708,169459,165570,165525,166233,166665,166280,165447,170242,167518,165561,166022,167080,166056,164669,166328,166666,165583,165376,166343
tri_base_16,10,3026,3024,3025,3432,3091,3138,3227,3329,3020,3030,3512,3131,3105,3106,3228,3462,3105,3093,3057,3148,3117,3096,3091,3110,3063,3042,3092,3180,3065,3039,3054,3598,3118,3104,3102,3106,3106,3391,3091,3124,3107,3103,3090,3103,3091,3124,3120,3106,3102,3088
tri_base_16,1000,3175,3199,3169,3185,3185,3184,3159,3232,3190,3179,3187,3174,3188,3196,3180,3216,3180,3218,3168,3208,3173,3264,3437,3186,3195,3290,3122,3142,3123,3157,3110,3134,3114,3120,3140,3114,3117,3142,3127,3110,3120,3124,3138,3141,3125,3113,3154,3171,3193,3198
tri_base_16,100000,12713,12957,12591,12791,12747,12630,12683,12742,12915,12729,12844,12589,12783,12654,12611,12654,13161,12744,13050,12741,12701,12760,12643,12691,12634,12718,12993,12888,12582,12492,12788,12812,12780,12643,12748,12792,12872,12733,13014,12663,13091,13125,13075,12907,13002,12897,13167,13172,12809,12714
tri_base_16,1000000,100642,101304,101471,100324,100012,100965,100421,100010,99551,99320,100950,101048,99827,100389,111255,102475,101207,100440,100766,100241,100380,101009,99892,102548,100839,100397,100603,99491,100307,100008,100101,100677,101617,100393,100900,100295,101198,103210,101164,101971,102483,99295,102131,99708,101482,101112,101175,100571,100613,101050
