Vector size, Bubble_copy, Bubble_comp, Insertion_copy, Insertion_comp, Selection_copy, Selection_comp, StdSort_copy, StdSort_comp, StdStableSort_copy, StdStableSort_comp
50, 1863, 1228, 1863, 668, 150, 1225, 343, 321, 335, 236
100, 7593, 4960, 7593, 2627, 300, 4950, 679, 736, 907, 616
500, 185148, 124750, 185148, 62209, 1500, 124750, 4558, 5252, 5617, 4310
1000, 721290, 499500, 721290, 241423, 3000, 499500, 9518, 11694, 13190, 9735
5000, 18733560, 12497500, 18733560, 6249515, 15000, 12497500, 55304, 78013, 76064, 58942
10000, 75069861, 49995000, 75069861, 25033276, 30000, 49995000, 118203, 164743, 152128, 128035
