Vector size, Bubble_copy, Bubble_comp, Insertion_copy, Insertion_comp, Selection_copy, Selection_comp, StdSort_copy, StdSort_comp, StdStableSort_copy, StdStableSort_comp
50, 0, 1225, 0, 49, 150, 1225, 160, 246, 260, 165
100, 0, 4950, 0, 99, 300, 4950, 328, 629, 719, 386
500, 0, 124750, 0, 499, 1500, 124750, 1640, 4571, 4607, 2730
1000, 0, 499500, 0, 999, 3000, 499500, 3288, 10621, 11213, 5964
5000, 0, 12497500, 0, 4999, 15000, 12497500, 17432, 75861, 66069, 34266
10000, 0, 49995000, 0, 9999, 30000, 49995000, 34872, 166691, 132141, 73534
