Vector size, Bubble, Insertion, Selection, StdSort, StdStableSort
50, 39, 33, 17, 3, 6
100, 155, 129, 66, 7, 10
500, 4377, 3850, 1573, 36, 53
1000, 17305, 13277, 6382, 77, 112
5000, 398365, 331221, 161019, 494, 620
10000, 1587019, 1334958, 662057, 1027, 1266
