Vector size, Bubble, Insertion, Selection, StdSort, StdStableSort
50, 25, 4, 18, 4, 6
100, 97, 10, 67, 9, 10
500, 2404, 193, 1618, 60, 70
1000, 9754, 727, 6424, 132, 166
5000, 247531, 17549, 160316, 1233, 1265
10000, 988249, 71007, 650283, 1789, 2143
