Vector size, Bubble, Insertion, Selection, StdSort, StdStableSort
50, 34, 18, 18, 5, 6
100, 144, 68, 69, 11, 14
500, 3406, 1600, 1659, 77, 81
1000, 14159, 6257, 6447, 158, 185
5000, 347491, 166302, 160044, 957, 1097
10000, 1387766, 687430, 655119, 2061, 2235
