Vector size, Bubble, Insertion, Selection, StdSort, StdStableSort
50, 16, 5, 7, 2, 7
100, 59, 20, 22, 2, 23
500, 1484, 471, 449, 13, 167
1000, 5972, 1895, 1707, 28, 223
5000, 149615, 45034, 41115, 171, 1385
10000, 601493, 184040, 163059, 376, 2154
