Vector size, Bubble, Insertion, Selection, StdSort, StdStableSort
50, 14, 1, 6, 2, 2
100, 38, 4, 19, 2, 5
500, 901, 57, 423, 10, 73
1000, 3641, 223, 1663, 22, 169
5000, 90070, 4995, 40984, 136, 1262
10000, 354928, 19552, 163797, 304, 1958
