Vector size, Bubble, Insertion, Selection, StdSort, StdStableSort
50, 11, 0, 5, 1, 1
100, 35, 1, 19, 0, 2
500, 833, 3, 421, 2, 14
1000, 3228, 5, 1565, 1, 40
5000, 85385, 64, 43376, 8, 261
10000, 335002, 53, 159474, 11, 653
