Vector size, Bubble, Insertion, Selection, StdSort, StdStableSort
50, 18, 10, 7, 1, 13
100, 58, 38, 20, 0, 46
500, 1399, 884, 419, 2, 277
1000, 5475, 3605, 1655, 4, 306
5000, 136463, 93543, 43346, 11, 2065
10000, 567934, 374171, 171817, 21, 2492
